nose y,nose x,nose c,left eye y,left eye x,left eye c,right eye y,right eye x,right eye c,left ear y,left ear x,left ear c,right ear y,right ear x,right ear c,left shoulder y,left shoulder x,left shoulder c,right shoulder y,right shoulder x,right shoulder c,left elbow y,left elbow x,left elbow c,right elbow y,right elbow x,right elbow c,left wrist y,left wrist x,left wrist c,right wrist y,right wrist x,right wrist c,left hip y,left hip x,left hip c,right hip y,right hip x,right hip c,left knee y,left knee x,left knee c,right knee y,right knee x,right knee c,left ankle y,left ankle x,left ankle c,right ankle y,right ankle x,right ankle c,Timestamp
0.18415861,0.509971,0.011455069,0.14815925,0.5678295,0.009986135,0.16411626,0.5488586,0.017830608,0.10283842,0.61897796,0.006271733,0.15586478,0.54036164,0.018083088,0.17998874,0.6216761,0.016775347,0.20192425,0.5730194,0.022247832,0.4415885,0.71402895,0.018539483,0.41428965,0.32173216,0.018163282,0.5349233,0.6843345,0.006082813,0.5130492,0.39994666,0.0067040245,0.6551714,0.6195428,0.009461809,0.66992426,0.3886208,0.01115628,0.583553,0.771367,0.045879573,0.84973043,0.44950235,0.021585055,0.84654135,0.62047565,0.02432118,0.8580973,0.51964235,0.009022218,1.693806262067824E9
0.20085351,0.51015717,0.011543469,0.16359146,0.5662503,0.010708812,0.18870465,0.48553228,0.011435205,0.102403134,0.61664784,0.006265432,0.15552616,0.5405407,0.0166068,0.18017845,0.6193597,0.016849462,0.20329937,0.57061416,0.02230118,0.4606005,0.7189088,0.016188467,0.41599417,0.3373382,0.014042465,0.5556183,0.7068348,0.006916717,0.5119337,0.39919484,0.006423374,0.655916,0.61553967,0.009734528,0.6919197,0.38952383,0.010269806,0.87466687,0.6414429,0.008138885,0.87117004,0.44874117,0.024201933,1.0021113,0.6557858,0.060477052,0.8783669,0.5226879,0.009439155,1.693806262536602E9
0.17950639,0.52786565,0.01464027,0.14559506,0.5632175,0.013047559,0.16748065,0.48001933,0.009673359,0.103940085,0.59690464,0.007048847,0.13795778,0.5370319,0.01698756,0.19930232,0.5949904,0.019854708,0.24197698,0.57511723,0.025128217,0.46018812,0.69925064,0.017080056,0.41839775,0.33750638,0.01642169,0.5534028,0.6727494,0.0051626256,0.5167657,0.4013872,0.0061097234,0.6655612,0.61770386,0.0063673668,0.6978175,0.3907869,0.00647965,0.58693486,0.74333954,0.02539099,0.8734352,0.44628668,0.012978806,1.0021772,0.63309336,0.037525002,0.8607594,0.5146123,0.0051285345,1.6938062625536159E9
0.17436945,0.5314894,0.014259671,0.13940804,0.56528103,0.011954467,0.15810142,0.5266981,0.015279412,0.09797707,0.5971409,0.005828428,0.030734068,0.6130439,0.022706572,0.1796159,0.62069666,0.01826716,0.16658074,0.33097255,0.0055540507,0.48138317,0.7216553,0.015559993,0.41527355,0.337735,0.016345976,0.5708554,0.69308305,0.0054865284,0.5130198,0.40162823,0.0066038426,0.6900927,0.61915714,0.005549512,0.719217,0.39287555,0.007572625,0.5892411,0.74200314,0.02444639,0.89860606,0.44663697,0.017756779,1.002899,0.63511604,0.04280191,0.8827118,0.5195968,0.005110531,1.6938062625661554E9
0.19324127,0.50678,0.0147517985,0.14114769,0.5657486,0.01237624,0.16328749,0.4829197,0.01060135,0.09932102,0.5992229,0.0058069057,0.14923678,0.5386919,0.018886937,0.19567649,0.59666604,0.017693914,0.18795297,0.34892488,0.0055607916,0.47869933,0.70265883,0.015028195,0.41478884,0.33867782,0.016509065,0.5700551,0.67204875,0.0049813553,0.5129353,0.39885497,0.00586577,0.6626259,0.61554444,0.006531512,0.6956865,0.3921784,0.007632315,0.5868303,0.74064916,0.03002356,0.87661123,0.4463688,0.016795235,1.0032469,0.6344608,0.04199822,0.8628256,0.5178396,0.005979902,1.6938062625782215E9
0.19454527,0.50216115,0.014265268,0.15501972,0.558416,0.0150735425,0.16485927,0.4801347,0.009390252,0.0976142,0.5949992,0.006301569,0.030037154,0.56962484,0.015697666,0.1801461,0.60096085,0.023675757,0.22006033,0.5710685,0.028401837,0.45766866,0.6972138,0.016413607,0.4189404,0.31382293,0.014138189,0.5487669,0.66237926,0.004871757,0.4933262,0.39997277,0.0063314387,0.50378275,0.47236294,0.03198321,0.8395375,0.27747828,0.04068556,0.5913399,0.74375623,0.019033903,0.90400046,0.42593038,0.022094525,1.0034313,0.63596404,0.045867592,0.85984707,0.49648803,0.007865119,1.6938062625899846E9
0.19369183,0.50242907,0.0125764655,0.15619704,0.5592412,0.012234144,0.16442344,0.48045668,0.007989446,0.09918033,0.5969164,0.005115076,0.044272497,0.672313,0.031155583,0.19758531,0.59608567,0.019191232,0.24112791,0.5755224,0.02442649,0.45681033,0.6938412,0.018135762,0.41940826,0.31633574,0.015457529,0.5483021,0.6639207,0.0055384776,0.49199438,0.38057566,0.0067459513,0.49839073,0.49166176,0.032827575,0.84169596,0.27256417,0.04107221,0.5773283,0.74397254,0.019065037,0.87617886,0.44550964,0.020545142,1.0021951,0.6359065,0.04373134,0.8122649,0.49366435,0.010466163,1.693806262607278E9
0.19276425,0.5016768,0.0137344515,0.15583631,0.55919504,0.014020266,0.16307172,0.47899592,0.009349347,0.098077506,0.5989368,0.005750612,0.028936315,0.574315,0.018268239,0.19935608,0.5989759,0.020840093,0.18731545,0.5739224,0.02660973,0.4563663,0.69728744,0.016506696,0.41993767,0.31741354,0.018778307,0.54916143,0.65846336,0.0046243723,0.4925868,0.4019824,0.0065809092,0.50414366,0.4706208,0.031602193,0.8406064,0.27351117,0.044612706,0.58957696,0.75990474,0.020873426,0.8747987,0.4444635,0.014752673,1.0042132,0.63397455,0.035221484,0.84003806,0.5148312,0.0057996693,1.6938062626209518E9
0.19381467,0.50084037,0.012777742,0.15557984,0.5578565,0.012049341,0.16442725,0.47848243,0.0072542494,0.09784405,0.5943905,0.0053946697,0.054539807,0.6914899,0.02243125,0.19598621,0.5980747,0.018337626,0.24011146,0.5732289,0.025910601,0.45782766,0.6958679,0.014378922,0.42019743,0.31551003,0.017275175,0.5491197,0.66138184,0.00466128,0.4935239,0.4014809,0.0060050623,0.50192964,0.4709395,0.030335533,0.8443567,0.27123186,0.046981763,0.57759047,0.7437289,0.021277022,0.8769851,0.4448653,0.017308706,1.0052419,0.63369787,0.040825855,0.84036577,0.49306202,0.008279272,1.693806262635859E9
0.19564673,0.49902174,0.0124802925,0.1578558,0.5553646,0.01190481,0.16572586,0.47612438,0.007014053,0.11554491,0.59340006,0.0070644207,0.030582165,0.6563486,0.022946548,0.20082399,0.59761167,0.019294914,0.2437325,0.5764854,0.024538111,0.45855325,0.6966595,0.015092349,0.41761562,0.3332281,0.013575993,0.54818374,0.6295651,0.004563884,0.49378258,0.40109834,0.0056810575,0.4980495,0.46918762,0.028356958,0.84442985,0.2749024,0.044290904,0.57686234,0.74679655,0.021891566,0.84725904,0.45122445,0.0138273565,1.0026283,0.63562673,0.038037337,0.8141923,0.51571125,0.007392307,1.6938062626476924E9
