nose x,nose y,nose c,left eye x,left eye y,left eye c,right eye x,right eye y,right eye c,left ear x,left ear y,left ear c,right ear x,right ear y,right ear c,left shoulder x,left shoulder y,left shoulder c,right shoulder x,right shoulder y,right shoulder c,left elbow x,left elbow y,left elbow c,right elbow x,right elbow y,right elbow c,left wrist x,left wrist y,left wrist c,right wrist x,right wrist y,right wrist c,left hip x,left hip y,left hip c,right hip x,right hip y,right hip c,left knee x,left knee y,left knee c,right knee x,right knee y,right knee c,left ankle x,left ankle y,left ankle c,right ankle x,right ankle y,right ankle c
0.35222328,0.43660757,0.31056967,0.34247944,0.4321245,0.3477913,0.34378454,0.44140935,0.30573133,0.3469069,0.43182635,0.43496946,0.35087416,0.44921646,0.36751252,0.38842463,0.41942888,0.4042843,0.38436708,0.46487087,0.40757725,0.37944186,0.41328573,0.23002596,0.37458444,0.48779392,0.20644274,0.36337554,0.42289007,0.1810993,0.3930808,0.4720372,0.19456832,0.5010952,0.42386585,0.44476327,0.49382496,0.4634983,0.4352551,0.5830743,0.42425722,0.40633145,0.5733063,0.45827815,0.4492566,0.67438793,0.44121808,0.430737,0.6667682,0.46166903,0.3914883
0.3670416,0.44007772,0.27390268,0.3610782,0.4376746,0.19397345,0.355047,0.4451983,0.26579332,0.36878765,0.4353437,0.30967245,0.36863717,0.45976126,0.37445134,0.3981691,0.41822845,0.3637857,0.3949338,0.46667755,0.34482616,0.34826297,0.4085614,0.22562161,0.34993482,0.49908644,0.20546833,0.33453462,0.42413864,0.1986114,0.35439062,0.47033143,0.18547456,0.4917862,0.42322168,0.36613008,0.49103063,0.4606082,0.35900274,0.57879436,0.42690027,0.39854938,0.5713414,0.45593902,0.40557265,0.6659662,0.44210884,0.4732974,0.66397095,0.4589547,0.41416743
0.3511294,0.43672115,0.3014163,0.34340236,0.43763024,0.39168075,0.34638488,0.44225892,0.24639061,0.35187134,0.4333112,0.28078723,0.35362172,0.4473315,0.367396,0.38531446,0.42452127,0.38347685,0.38328168,0.4605237,0.3790649,0.3556063,0.4185661,0.23690863,0.35585102,0.49346972,0.20623042,0.3181678,0.44362372,0.18078476,0.3560501,0.46839386,0.185922,0.50256824,0.42458433,0.43719032,0.50015736,0.45445848,0.44967088,0.5840879,0.42806363,0.38527077,0.5791158,0.4553802,0.47802684,0.6733494,0.44484246,0.46151116,0.67016476,0.46089754,0.4091323
0.3343863,0.4374346,0.33993155,0.32710123,0.43601894,0.36600038,0.3290095,0.43487787,0.31359595,0.33449423,0.441903,0.36319447,0.33720362,0.43634292,0.36503735,0.37412137,0.44352263,0.40059185,0.3773385,0.43926284,0.43414396,0.3410407,0.47759074,0.19366623,0.35632575,0.45771775,0.18730311,0.31857744,0.44472033,0.18114321,0.33945796,0.4559197,0.18215288,0.4962203,0.43306538,0.36765036,0.497912,0.4492087,0.45697045,0.5824491,0.4290293,0.40105128,0.5811602,0.45177948,0.49215707,0.6755022,0.44343314,0.50246716,0.673129,0.45980427,0.41517472
0.34835303,0.43259698,0.2332769,0.33797336,0.43167993,0.4179019,0.34353718,0.43874592,0.211514,0.35195726,0.43057096,0.26289782,0.35330898,0.4519739,0.38611072,0.3837733,0.4209734,0.39108503,0.3812996,0.4638183,0.38270977,0.33170468,0.40937063,0.2635375,0.33780465,0.49844584,0.21146294,0.31314003,0.42584562,0.24599701,0.32181144,0.46157572,0.20300962,0.4953072,0.4224612,0.40753493,0.4933524,0.454058,0.4518243,0.5849412,0.42131013,0.395737,0.57948935,0.45343173,0.44547254,0.6753132,0.43872446,0.52941316,0.6697084,0.45812958,0.41957644
0.33771235,0.43248662,0.36136395,0.32906926,0.43213832,0.399381,0.33240217,0.43527597,0.26304555,0.34361726,0.43527684,0.29321775,0.33844563,0.44641298,0.3757334,0.381118,0.42743415,0.40588835,0.379407,0.45914766,0.39182493,0.36612135,0.4148508,0.22831495,0.36080417,0.47534868,0.15945826,0.33886594,0.42290217,0.20144726,0.3449758,0.45835578,0.15257417,0.5002868,0.42407057,0.44867402,0.49457884,0.45179224,0.47226745,0.5838008,0.4225759,0.40768036,0.5765008,0.44949955,0.42411813,0.6745817,0.43951437,0.5551416,0.66842383,0.45750737,0.42108512
0.34596455,0.42785144,0.28737557,0.3328219,0.42504627,0.40033698,0.335492,0.433761,0.27995676,0.33857483,0.42872643,0.3764923,0.3474043,0.45346245,0.3817739,0.3760168,0.41773722,0.40143725,0.37782833,0.46510848,0.36617896,0.3557968,0.40515217,0.23937489,0.34163773,0.49118656,0.14594738,0.32233596,0.42313534,0.2360141,0.34064066,0.46080768,0.13397282,0.49452758,0.4212547,0.40813085,0.4922254,0.45683426,0.37226763,0.5837888,0.4204759,0.42331296,0.574214,0.44996023,0.4261477,0.6771575,0.43763155,0.5532155,0.66719604,0.46164262,0.3115598
0.36613154,0.42879754,0.28907323,0.35931116,0.42765093,0.30472404,0.3630588,0.43640503,0.18627293,0.36739826,0.43207377,0.2762657,0.36785173,0.4547215,0.3776669,0.39013025,0.4177279,0.36374402,0.38460124,0.46558154,0.3462726,0.3589641,0.405928,0.2190112,0.34816366,0.4781749,0.17557621,0.3243208,0.42141873,0.2275651,0.34157345,0.4446616,0.17713481,0.48978066,0.4206105,0.4057996,0.4876042,0.45272613,0.43718156,0.5790124,0.4200008,0.41669086,0.5704495,0.4486313,0.40854362,0.67725205,0.43660712,0.5542095,0.6687721,0.45931655,0.44061068
0.345501,0.4224262,0.3237852,0.33134413,0.42041776,0.40572476,0.3342859,0.42557842,0.33087322,0.34694892,0.4272787,0.32171467,0.3494514,0.44185877,0.35355777,0.37679988,0.42183113,0.37456515,0.3772914,0.4591155,0.35449192,0.34463212,0.40698373,0.21005149,0.35197467,0.4790848,0.19946986,0.31803074,0.42577142,0.23514713,0.32486933,0.4412065,0.18616877,0.4911639,0.42280078,0.41058236,0.48886856,0.45094973,0.46249554,0.583198,0.42182475,0.4332332,0.5755983,0.45065317,0.40677932,0.6832161,0.43860984,0.5565675,0.6728077,0.459718,0.41821128
0.3475636,0.42812726,0.302873,0.33469602,0.4258166,0.44387078,0.33754534,0.43154925,0.3622099,0.3505649,0.42738718,0.3281636,0.35254645,0.44352528,0.35559216,0.3805452,0.41953945,0.36605093,0.37813938,0.46040767,0.34056842,0.3389494,0.40541035,0.22729823,0.34366047,0.49425858,0.15364006,0.3225435,0.42352688,0.2364597,0.32636407,0.459203,0.14961885,0.4882073,0.42051277,0.4122018,0.4855225,0.45205057,0.4418851,0.5825864,0.41972625,0.39883465,0.5746949,0.44938552,0.39352024,0.6758529,0.4352642,0.37068382,0.66754055,0.45637012,0.42184624
