Sample Index	EXG Channel 0	EXG Channel 1	EXG Channel 2	EXG Channel 3	EXG Channel 4	EXG Channel 5	EXG Channel 6	EXG Channel 7	EXG Channel 8	EXG Channel 9	EXG Channel 10	EXG Channel 11	EXG Channel 12	EXG Channel 13	EXG Channel 14	EXG Channel 15	Accel Channel 0	Accel Channel 1	Accel Channel 2	Other	Other	Other	Other	Other	Other	Other	Analog Channel 0	Analog Channel 1	Analog Channel 2	Timestamp	Other
0.000000	11.744436	28.861046	50.326970	73.942303	96.226414	139.742089	342.820661	377.912859	371.937591	469.565467	563.771682	537.325256	493.307523	597.453480	574.704854	461.233330	0.888649	0.939034	0.907293	0.851065	0.864667	0.944750	0.962224	546.576994	259678.410458	36.609480	911.480476	917.837727	91.418329	1693806259.358158	0.000000
1.000000	13.430642	34.196052	58.013465	92.860825	128.475937	140.441481	312.184000	312.894224	296.321159	279.458875	176.741193	122.877939	-57.904233	-64.290836	-142.865756	-56.436250	0.891593	0.816455	0.905485	0.980135	0.926093	0.997434	1.095110	529.900174	271573.229264	36.609786	1065.205272	1094.933516	85.694413	1693806259.362264	0.000000
2.000000	15.269362	41.462117	68.671074	100.673237	122.587079	116.157507	89.929758	48.057116	37.998460	-14.458875	-23.167756	-58.257801	-56.388229	78.494483	171.006802	244.312367	0.817630	0.942965	0.991831	0.983016	0.810384	0.862772	1.094140	464.744191	229515.042361	36.593786	963.536932	980.257089	98.410763	1693806259.366251	0.000000
3.000000	17.118780	45.343653	72.385708	94.061270	77.655824	50.863005	27.275668	-64.070560	18.934045	-0.150841	75.737520	145.211894	216.253264	381.623576	239.626088	201.184119	0.995566	0.965168	0.822608	0.935684	0.918057	0.996343	0.902292	471.806306	274872.658714	36.608151	989.190022	1077.402435	83.010039	1693806259.370251	0.000000
4.000000	17.982601	47.062306	72.382760	64.149226	38.983233	-19.977147	1.838122	-30.466234	48.753152	164.645253	190.474230	242.074987	287.038156	133.932248	49.373418	-13.163863	0.820431	0.809566	0.933492	0.935723	0.970692	0.892352	1.010181	450.395471	269052.616868	36.597379	919.132032	958.689629	88.837592	1693806259.374252	0.000000
5.000000	19.897138	48.165018	59.200571	38.711046	5.859945	-15.369931	16.707147	92.926305	171.247875	193.284177	164.358623	94.979600	-81.454726	-149.898721	-38.606835	199.755317	0.824738	0.873735	0.936207	0.957644	0.891943	0.937101	1.096520	531.587857	241922.802609	36.598177	1062.205064	1089.879361	87.930194	1693806259.378259	0.000000
6.000000	20.951919	44.786595	47.883392	11.412735	-20.954445	-4.701740	92.157942	216.229562	160.391668	132.579623	-1.007006	-67.394828	48.505552	213.802939	457.981621	307.087795	0.833503	0.834968	0.877513	0.895223	0.930222	0.801694	0.942914	545.926529	267997.158521	36.596875	1047.586505	1079.733116	96.164441	1693806259.382254	0.000000
7.000000	21.821358	46.497784	30.977194	-6.567407	-14.385311	59.880633	145.868156	159.874283	88.059494	-32.528223	-74.531393	132.565232	323.580263	247.801017	141.663620	-113.647920	0.910187	0.932883	0.979880	0.980296	0.938698	0.884260	1.060951	473.793204	237356.938860	36.596554	960.860586	1002.933304	91.113292	1693806259.386242	0.000000
8.000000	23.230119	41.358388	17.072607	-21.504547	23.698794	121.397764	185.965103	82.949023	-62.135645	32.164369	164.837410	373.848983	248.685881	4.272570	-147.423929	159.323303	0.966646	0.943803	0.850772	0.996124	0.913927	0.877741	0.929115	483.918180	268724.683981	36.591122	994.012350	969.917209	96.062561	1693806259.390231	0.000000
9.000000	23.844438	36.269490	-1.670128	-13.642803	62.331361	138.371750	107.339678	-36.102303	-36.661232	164.163733	272.585142	135.648604	-18.189450	-18.010347	320.174349	507.333171	0.992368	0.808961	0.918526	0.928334	0.912238	0.860072	0.908420	460.373414	276774.108495	36.597321	999.208534	940.890136	92.425044	1693806259.394221	0.000000
